Time(s),Neutron_Density(#/cc),Power(MW),Reactivity($),Fuel_Temp(K),Coolant_Temp(K),Flow_Rate(kg/s),Rod_Position(%),Xe-135(atoms/cc),Sm-149(atoms/cc)
301.0699999997987,545529167.3941816,299.9354276199923,0.002360411871673716,1231.0986133610234,557.6525675827554,699.9462771330739,21.290089259178508,987215.1724256872,0.9085629820202032
301.57499999979825,545527096.2333071,299.9342888824882,0.002365492250527457,1230.6859715262183,557.5711072234296,699.7466211742528,21.290744441331704,990710.391049472,0.9221150475663519
302.0799999997978,545524764.9910927,299.9330071505987,0.0023704110078686057,1230.2894166573128,557.4928463891517,699.9468343955559,21.291411487672544,994206.5055233801,0.9357933592829281
302.58499999979733,545522220.2145691,299.93160801617944,0.0023751748105093565,1229.908456268997,557.4176724426173,699.7469688693204,21.292091798754402,997703.5144272554,0.9495983364268454
303.0899999997969,545519535.154303,299.9301317528608,0.002379792995688051,1229.5423187486772,557.345448260212,699.947048782607,21.29278643132496,1001201.4166956682,0.963530398232328
303.5949999997964,545516737.3469282,299.9285935004602,0.0023842710325689557,1229.1905651897707,557.2760708166705,699.7470974997717,21.29349614811544,1004700.2115574336,0.9775899639107719
304.09999999979595,545513883.9640988,299.9270246923189,0.0023886171827831033,1228.8524753820823,557.209412464078,699.9471257263556,21.294221469386308,1008199.8984928806,0.9917774526506496
304.6049999997955,545510989.0025165,299.9254330239132,0.0023928359508745374,1228.5276592511627,557.1453793019856,699.747142655913,21.294962706999318,1011700.4771894953,1.0060932836174437
305.10999999979504,545508098.2488847,299.92384366906555,0.002396934726339066,1228.2154433435069,557.0838526073576,699.9471523896874,21.295720002424538,1015201.9475130024,1.0205378759536152
305.6149999997946,545505216.1205187,299.92225905644426,0.002400917226474411,1227.9154819351374,557.0247470214613,699.7471582300808,21.296493349347845,1018704.3094746727,1.0351116487785867
306.1199999997941,545502380.3176272,299.92069991386546,0.002404790123767155,1227.6271440126875,556.9679521329242,699.9471616137092,21.297282622107872,1022207.5632120878,1.0498150211887434
306.62499999979366,545499588.4040649,299.9191649019207,0.0024085564840094892,1227.3501241059196,556.913390507239,699.7471636722863,21.298087590385993,1025711.7089644687,1.0646484122574709
307.1299999997932,545496872.2441633,299.9176715398233,0.002412222382186569,1227.0838297463874,556.8609594203934,699.9471648878181,21.298907941109587,1029216.7470600405,1.0796122410351752
307.63499999979274,545494224.4125961,299.91621574508156,0.0024157903379820054,1226.8279920537693,556.8105887502699,699.7471656443563,21.299743287735392,1032722.6778968392,1.0947069265493414
308.1399999997923,545491672.4932917,299.9148126835157,0.0024192659225139566,1226.5820536376725,556.7621828544719,699.9471661018956,21.300593187650932,1036229.5019346385,1.1099328878045884
308.6449999997918,545489205.3789623,299.91345624826783,0.0024226511926427733,1226.345778953752,556.7156783381505,699.7471663928959,21.301457147680075,1039737.2196796031,1.1252905437827314
309.14999999979136,545486847.4806274,299.9121598606728,0.0024259512902454557,1226.118642609892,556.670986067731,699.9471665703256,21.302334638289793,1043245.8316794651,1.1407803134428582
309.6549999997909,545484584.9525406,299.91091590825056,0.00242916787623265,1225.9004395035777,556.6280488267844,699.7471666809589,21.30322509637688,1046755.3385109549,1.156402615721401
310.15999999979044,545482439.8414553,299.9097365124471,0.002432305723604559,1225.690673495463,556.5867834567032,699.947166740981,21.304127937148024,1050265.7407773477,1.172157869532222
310.66499999979,545480396.2581496,299.9086129372667,0.002435366151760839,1225.48916733881,556.547138410356,699.7471667666471,21.305042554906983,1053777.0390979466,1.1880464937666946
311.1699999997895,545478474.4848822,299.907556334025,0.0024383536142842483,1225.2954516870982,556.5090360107736,699.9471667597913,21.30596833321145,1057289.2341073854,1.204068907293791
311.67499999978907,545476657.1071265,299.9065571281036,0.002441269133920811,1225.1093748266176,556.4724299110436,699.7471667250056,21.30690464417102,1060802.326446637,1.2202255289601682
312.1799999997886,545474963.091855,299.9056257476656,0.0024441168858326465,1224.9304919884742,556.4372474623489,699.9471666566214,21.307850857314836,1064316.316763641,1.2365167775902635
312.68499999978815,545473373.8886297,299.9047519935615,0.002446897633485997,1224.7586748957622,556.4034470876055,699.7471665548121,21.30880633777093,1067831.205705457,1.2529430719863763
313.1899999997877,545471907.4878569,299.9039457570316,0.0024496153079668222,1224.5935013535864,556.3709607506366,699.9471664083483,21.309770454162784,1071346.9939198813,1.269504830928764
313.6949999997872,545470544.4976656,299.90319637630137,0.002452270444918712,1224.4348646222973,556.3397512502819,699.7471662169901,21.310742575943134,1074863.682048473,1.2862024731757307
314.19999999978677,545469302.1888264,299.90251334695085,0.002454866760403627,1224.2823632619652,556.3097547830031,699.9471659646933,21.31172208055445,1078381.2707289285,1.3030364174637175
314.7049999997863,545468160.5519512,299.9018856676903,0.0024574045889649513,1224.1359103430225,556.2809381635543,699.7471656543864,21.312708350120094,1081899.7605887621,1.3200070825073815
