Time(s),Neutron_Density(#/cc),Power(MW),Reactivity($),Fuel_Temp(K),Coolant_Temp(K),Flow_Rate(kg/s),Rod_Position(%),Xe-135(atoms/cc),Sm-149(atoms/cc),Burnup(MWd/kgU),U-235(atoms/cc),U-238(atoms/cc),Pu-239(atoms/cc),FP(atoms/cc)
265.2149999998313,1223.1919363333584,0.0006725187550244729,-0.0009201634882715199,450.0068251413313,450.0012475895104,199.87355932314688,33.000000000883816,2.1486350214493815,1.6982988935784606e-06,1.0256823883696928e-10,9.839999998649703e+20,2.2099999999999915e+22,13987523451.797441,271890929966.58575
265.71999999983086,1216.2920393755646,0.0006687251475177374,-0.0009201631342419777,450.0067921982358,450.0012433697482,200.07356951824866,33.00000000068637,2.1564360300579044,1.7241196003082894e-06,1.0292135512938356e-10,9.83999999864507e+20,2.2099999999999915e+22,14035678928.355536,272826981108.8669
266.2249999998304,1209.4753534675656,0.0006649772899787298,-0.0009201627814771588,450.0067593836892,450.0012390989568,199.87357988286342,33.000000000533056,2.1641985466983167,1.7502163303004364e-06,1.0327248604945737e-10,9.839999998640436e+20,2.2099999999999915e+22,14083563654.021446,273757769367.2562
266.72999999982994,1208.09717047302,0.0006642195561479574,-0.000874028714581924,450.00672671169065,450.00123477980685,200.07359001112073,33.0170634894233,2.1719241983562245,1.776589893408278e-06,1.036217119239764e-10,9.839999998635808e+20,2.2099999999999915e+22,14131188583.18818,274683507674.3797
267.2349999998295,1293.6386495493666,0.0007112508088095988,-0.00038742120857524864,450.0066977660102,450.00123042398013,199.87360040239386,33.19671800231131,2.1799083027735477,1.8032400963402497e-06,1.0398350252635365e-10,9.839999998631007e+20,2.2099999999999915e+22,14180527000.151514,275642552934.8121
267.739999999829,1391.108349574397,0.0007648402736894407,3.692823569582149e-05,450.0066759273291,450.00122607177593,200.07361074136548,33.35290554630203,2.188437563169359,1.8301691554603962e-06,1.0437189947383731e-10,9.839999998625857e+20,2.2099999999999915e+22,14233493800.329065,276672127084.0654
268.24499999982856,1496.693730805968,0.0008228917920369983,0.0003959618972741815,450.0066617537868,450.0012217725168,199.8736214631158,33.48470835947357,2.1975707069095822,1.857378103382342e-06,1.0478977235740589e-10,9.839999998620306e+20,2.2099999999999915e+22,14290480318.032103,277779836919.0254
268.7499999998281,1607.3275373962279,0.0008837189669566854,0.0006920360761232475,450.0066555478175,450.00121757594655,200.07363216243684,33.59316439082467,2.207346567740882,1.8848680731126072e-06,1.052390153190167e-10,9.839999998614324e+20,2.2099999999999915e+22,14351744862.804947,278970703487.37646
269.25499999982765,1720.55271583452,0.0009459708947032004,0.0009314163061824739,450.0066574107768,450.0012135315771,199.8736432780255,33.68069980167933,2.2177875224344854,1.9126402371753865e-06,1.0572071572578365e-10,9.839999998607937e+20,2.2099999999999915e+22,14417435722.004274,280247609214.1192
269.7599999998272,1834.578793629195,0.0010086631620416105,0.0011222528640339145,450.00666728784256,450.001209686645,200.07365438051514,33.75038704669238,2.2289034498843114,1.940695877934818e-06,1.062353483348935e-10,9.839999998601112e+20,2.2099999999999915e+22,14487617639.622513,281611812599.68634
270.2649999998267,1948.2342714639221,0.0010711516711502016,0.0012729516856142785,450.00668502478084,450.0012060862261,199.87366591784024,33.80535701571553,2.240695528652715,1.969036367019482e-06,1.0678296152597847e-10,9.839999998593858e+20,2.2099999999999915e+22,14562297213.328197,283063441890.2424
270.76999999982627,2060.8482156638815,0.0011330675384005823,0.0013912220705718432,450.00671040293247,450.00120277192184,200.073677439407,33.848461141152555,2.2531595689495107,1.9976631684393413e-06,1.073633406601096e-10,9.839999998586181e+20,2.2099999999999915e+22,14641445172.197926,284601928114.5467
271.2749999998258,2172.1167140010184,0.0011942436709047293,0.0014836786737767236,450.00674317891037,450.00119978256123,199.87368940690635,33.88213478791262,2.2662885645495607,2.0265778351093464e-06,1.0797613317857584e-10,9.839999998578047e+20,2.2099999999999915e+22,14725013436.794142,286226336699.51
271.77999999982535,2281.9860606635266,0.0012546505408635952,0.0015557779926068601,450.0067830994466,450.0011971533593,200.0737013513349,33.90838045272448,2.2800745007212297,2.0557820067324845e-06,1.0862093721604161e-10,9.839999998569514e+20,2.2099999999999915e+22,14812947203.594126,287935602368.5804
272.2849999998249,2390.562379060592,0.0013143464956067391,0.0016119161868326658,450.0068299236001,450.0011949168902,199.87371375076037,33.9288077028662,2.294509552438302,2.085277408811155e-06,1.0929736031678022e-10,9.839999998560542e+20,2.2099999999999915e+22,14905192952.290407,289728684788.4774
272.78999999982443,2498.046475970719,0.0013734419399861473,0.0016555849916156493,450.00688342376606,450.00119310248726,200.07372611942722,33.944692719781955,2.309586824198557,2.115065851151188e-06,1.1000505567712412e-10,9.83999999855116e+20,2.2099999999999915e+22,15001703388.277084,291604664641.75024
273.294999999824,2604.689058824427,0.0014320747145516463,0.0016895338872534324,450.0069433978685,450.0011917372532,199.8737389530465,33.95703905990531,2.325300749524497,2.1451492178584054e-06,1.1074374171101247e-10,9.839999998541364e+20,2.2099999999999915e+22,15102440110.859398,293562795491.71625
273.7999999998235,2710.7614411417626,0.0014903939892129644,0.001715916496590248,450.007009663824,450.00119084558924,200.07375174978856,33.96663198975103,2.341647328213597,2.1755294826579407e-06,1.1151321364383813e-10,9.839999998531181e+20,2.2099999999999915e+22,15207375194.339756,295602534515.7734
274.30499999982305,2816.537027953885,0.001548550083806025,0.0017364142834237059,450.0070820675715,450.0011904501645,199.8737650236459,33.97408413274459,2.358624184076902,2.206208706122489e-06,1.1231334632029243e-10,9.839999998520567e+20,2.2099999999999915e+22,15316491570.931473,297723549948.5154
274.8099999998226,2922.280297821063,0.0016066884103359267,0.0017523374681511403,450.00716047414244,450.0011905714594,200.07377825674763,33.97987256419799,2.37623053287208,2.237189031086263e-06,1.1314409261357696e-10,9.839999998509565e+20,2.2099999999999915e+22,15429782813.818521,299925716864.82794
